ts_code,name,industry,list_date
000810.SZ,创维数字,家用电器,19980602
000811.SZ,冰轮环境,工程机械,19980528
000812.SZ,陕西金叶,广告包装,19980623
000813.SZ,德展健康,化学制药,19980519
000815.SZ,美利云,通信设备,19980609
000816.SZ,智慧农业,农用机械,19970818
000818.SZ,航锦科技,化工原料,19971017
000819.SZ,岳阳兴长,石油加工,19970625
000820.SZ,*ST节能,综合类,19980630
000821.SZ,ST京机,电气设备,19980626
000822.SZ,山东海化,化工原料,19980703
000823.SZ,超声电子,元器件,19971008
000825.SZ,太钢不锈,特种钢,19981021
000826.SZ,*ST启环,环境保护,19980225
000828.SZ,东莞控股,路桥,19970617
000829.SZ,天音控股,其他商业,19971202
000830.SZ,鲁西化工,化工原料,19980807
000831.SZ,中国稀土,小金属,19980911
000833.SZ,粤桂股份,综合类,19981111
000837.SZ,秦川机床,机床制造,19980928
000838.SZ,*ST发展,区域地产,19970626
000839.SZ,国安股份,综合类,19971031
000848.SZ,承德露露,软饮料,19971113
000850.SZ,华茂股份,纺织,19981007
000852.SZ,石化机械,化工机械,19981126
000856.SZ,冀东装备,专用机械,19980813
000858.SZ,五粮液,白酒,19980427
000859.SZ,国风新材,塑料,19981119
000860.SZ,顺鑫农业,白酒,19981104
000862.SZ,银星能源,新型电力,19980915
000863.SZ,三湘印象,区域地产,19970925
000868.SZ,安凯客车,汽车整车,19970725
000869.SZ,张裕Ａ,红黄酒,20001026
000875.SZ,电投绿能,火力发电,20020926
000876.SZ,新希望,饲料,19980311
000877.SZ,天山股份,水泥,19990107
000878.SZ,云南铜业,铜,19980602
000880.SZ,潍柴重机,专用机械,19980402
000881.SZ,中广核技,化工原料,19980902
000882.SZ,华联股份,其他商业,19980616
000883.SZ,湖北能源,水力发电,19980519
000885.SZ,城发环境,环境保护,19990319
000886.SZ,海南高速,区域地产,19980123
000887.SZ,中鼎股份,汽车配件,19981203
000888.SZ,峨眉山Ａ,旅游景点,19971021
000889.SZ,中嘉博创,通信设备,19971218
000890.SZ,法尔胜,环境保护,19990119
000892.SZ,欢瑞世纪,影视音像,19990115
000893.SZ,亚钾国际,农药化肥,19981224
000895.SZ,双汇发展,食品,19981210
001896.SZ,豫能控股,火力发电,19980122
000897.SZ,津滨发展,区域地产,19990422
000898.SZ,鞍钢股份,普钢,19971225
000899.SZ,赣能股份,火力发电,19971126
000900.SZ,现代投资,路桥,19990128
000901.SZ,航天科技,汽车配件,19990401
000902.SZ,新洋丰,农药化肥,19990408
000903.SZ,ST云动,汽车配件,19990415
000905.SZ,厦门港务,港口,19990429
000906.SZ,浙商中拓,仓储物流,19990707
000908.SZ,ST景峰,化学制药,19990203
000909.SZ,*ST数源,区域地产,19990507
000910.SZ,大亚圣象,家居用品,19990630
000911.SZ,*ST广糖,食品,19990527
000912.SZ,泸天化,农药化肥,19990603
000913.SZ,钱江摩托,摩托车,19990514
000915.SZ,华特达因,化学制药,19990609
000917.SZ,电广传媒,广告包装,19990325
000919.SZ,金陵药业,化学制药,19991118
000920.SZ,沃顿科技,塑料,19990616
000921.SZ,海信家电,家用电器,19990713
000922.SZ,佳电股份,电气设备,19990618
000923.SZ,河钢资源,普钢,19990714
000925.SZ,众合科技,运输设备,19990611
000926.SZ,福星股份,区域地产,19990618
000927.SZ,中国铁物,仓储物流,19990727
000928.SZ,中钢国际,建筑工程,19990312
000929.SZ,*ST兰黄,啤酒,19990623
000930.SZ,中粮科技,农业综合,19990712
000931.SZ,中关村,化学制药,19990712
000932.SZ,华菱钢铁,普钢,19990803
000933.SZ,神火股份,铝,19990831
000935.SZ,四川双马,水泥,19990824
000936.SZ,华西股份,化纤,19990810
000937.SZ,冀中能源,煤炭开采,19990909
000938.SZ,紫光股份,IT设备,19991104
000948.SZ,南天信息,软件服务,19991014
000949.SZ,新乡化纤,化纤,19991021
000950.SZ,重药控股,医药商业,19990916
000951.SZ,中国重汽,汽车整车,19991125
000952.SZ,广济药业,化学制药,19991112
000953.SZ,中哲精化,化学制药,19991202
000955.SZ,欣龙控股,纺织,19991209
000957.SZ,中通客车,汽车整车,20000113
000958.SZ,电投产融,新型电力,19991223
000959.SZ,首钢股份,普钢,19991216
000960.SZ,锡业股份,小金属,20000221
000962.SZ,东方钽业,小金属,20000120
000963.SZ,华东医药,化学制药,20000127
000965.SZ,天保基建,区域地产,20000406
000966.SZ,长源电力,火力发电,20000316
000967.SZ,盈峰环境,环境保护,20000330
000968.SZ,蓝焰控股,石油开采,20000622
000969.SZ,安泰科技,小金属,20000529
000970.SZ,中科三环,矿物制品,20000420
000972.SZ,*ST中基,食品,20000926
000973.SZ,佛塑科技,塑料,20000525
000975.SZ,山金国际,黄金,20000608
000977.SZ,浪潮信息,IT设备,20000608
000978.SZ,桂林旅游,旅游景点,20000518
000980.SZ,众泰汽车,汽车配件,20000616
000981.SZ,山子高科,汽车配件,20000622
000983.SZ,山西焦煤,煤炭开采,20000726
000985.SZ,大庆华科,化工原料,20000726
000987.SZ,越秀资本,多元金融,20000718
000988.SZ,华工科技,专用机械,20000608
000989.SZ,九芝堂,中成药,20000628
000990.SZ,诚志股份,化工原料,20000706
000993.SZ,闽东电力,水力发电,20000731
000995.SZ,皇台酒业,白酒,20000807
000997.SZ,新大陆,IT设备,20000807
000998.SZ,隆平高科,种植业,20001211
000999.SZ,华润三九,中成药,20000309
002001.SZ,新和成,化学制药,20040625
002181.SZ,粤传媒,出版业,20071116
600000.SH,浦发银行,银行,19991110
600004.SH,白云机场,机场,20030428
600006.SH,东风股份,汽车整车,19990727
600007.SH,中国国贸,园区开发,19990312
600008.SH,首创环保,水务,20000427
600009.SH,上海机场,机场,19980218
600010.SH,包钢股份,普钢,20010309
600011.SH,华能国际,火力发电,20011206
600012.SH,皖通高速,路桥,20030107
600015.SH,华夏银行,银行,20030912
600016.SH,民生银行,银行,20001219
600019.SH,宝钢股份,普钢,20001212
600020.SH,中原高速,路桥,20030808
600021.SH,上海电力,火力发电,20031029
600026.SH,中远海能,水运,20020523
600028.SH,中国石化,石油加工,20010808
600029.SH,南方航空,空运,20030725
600030.SH,中信证券,证券,20030106
600031.SH,三一重工,工程机械,20030703
600033.SH,福建高速,路桥,20010209
600035.SH,楚天高速,路桥,20040310
600036.SH,招商银行,银行,20020409
600037.SH,歌华有线,影视音像,20010208
600038.SH,中直股份,航空,20001218
600039.SH,四川路桥,建筑工程,20030325
600050.SH,中国联通,电信运营,20021009
600051.SH,宁波联合,综合类,19970410
600052.SH,东望时代,供气供热,19970415
600053.SH,*ST九鼎,多元金融,19970418
600054.SH,黄山旅游,旅游景点,19970506
600055.SH,万东医疗,医疗保健,19970519
600056.SH,中国医药,医药商业,19970515
600057.SH,厦门象屿,仓储物流,19970604
600058.SH,五矿发展,商贸代理,19970528
600059.SH,古越龙山,红黄酒,19970516
600060.SH,海信视像,家用电器,19970422
600061.SH,国投资本,证券,19970519
600062.SH,华润双鹤,化学制药,19970522
600063.SH,皖维高新,化纤,19970528
600064.SH,南京高科,园区开发,19970506
600066.SH,宇通客车,汽车整车,19970508
600067.SH,XD冠城新,电气设备,19970508
600071.SH,凤凰光学,元器件,19970528
600072.SH,中船科技,电气设备,19970603
600073.SH,光明肉业,食品,19970704
600075.SH,新疆天业,化工原料,19970617
600076.SH,康欣新材,广告包装,19970526
600078.SH,澄星股份,化工原料,19970627
600079.SH,ST人福,化学制药,19970606
600080.SH,ST金花,中成药,19970612
600081.SH,东风科技,汽车配件,19970703
600082.SH,ST海泰,园区开发,19970620
600084.SH,*ST尼雅,红黄酒,19970711
600085.SH,同仁堂,中成药,19970625
600088.SH,中视传媒,影视音像,19970616
600089.SH,特变电工,电气设备,19970618
600094.SH,大名城,区域地产,19970703
600095.SH,湘财股份,证券,19970708
600096.SH,云天化,农药化肥,19970709
600097.SH,开创国际,渔业,19970619
600098.SH,广州发展,火力发电,19970718
600099.SH,林海股份,汽车整车,19970704
600100.SH,同方股份,IT设备,19970627
600101.SH,明星电力,水力发电,19970627
600103.SH,青山纸业,造纸,19970703
600104.SH,上汽集团,汽车整车,19971125
600105.SH,永鼎股份,通信设备,19970929
600106.SH,重庆路桥,路桥,19970618
600107.SH,*ST尔雅,服饰,19971106
600108.SH,亚盛集团,种植业,19970818
600109.SH,国金证券,证券,19970807
600110.SH,诺德股份,电气设备,19971007
600111.SH,北方稀土,小金属,19970924
600113.SH,浙江东日,区域地产,19971021
600114.SH,东睦股份,机械基件,20040511
600115.SH,中国东航,空运,19971105
600116.SH,三峡水利,水力发电,19970804
600117.SH,西宁特钢,特种钢,19971015
600118.SH,中国卫星,航空,19970908
600119.SH,*ST长投,仓储物流,19980115
600120.SH,XD浙江东,多元金融,19971201
600121.SH,郑州煤电,煤炭开采,19980107
600123.SH,兰花科创,煤炭开采,19981217
600125.SH,铁龙物流,铁路,19980511
600126.SH,杭钢股份,普钢,19980311
600127.SH,金健米业,农业综合,19980506
600128.SH,苏豪弘业,商贸代理,19970901
600129.SH,太极集团,中成药,19971118
600130.SH,波导股份,元器件,20000706
600131.SH,国网信通,通信设备,19980402
600132.SH,重庆啤酒,啤酒,19971030
600133.SH,东湖高新,环境保护,19980212
600135.SH,乐凯胶片,塑料,19980122
600136.SH,ST明诚,房产服务,19980303
600137.SH,浪莎股份,服饰,19980416
600138.SH,中青旅,旅游景点,19971203
600141.SH,兴发集团,农药化肥,19990616
600148.SH,长春一东,汽车配件,19980520
600149.SH,廊坊发展,综合类,19991014
600150.SH,中国船舶,船舶,19980520
600151.SH,航天机电,汽车配件,19980605
600152.SH,维科技术,电气设备,19980609
600153.SH,建发股份,仓储物流,19980616
600155.SH,华创云信,证券,19980918
600156.SH,华升股份,纺织,19980527
600157.SH,永泰能源,火力发电,19980513
600158.SH,中体产业,文教休闲,19980327
600159.SH,大龙地产,区域地产,19980526
600160.SH,巨化股份,化工原料,19980626
600161.SH,天坛生物,生物制药,19980616
600162.SH,香江控股,全国地产,19980609
600163.SH,中闽能源,新型电力,19980602
600165.SH,ST宁科,化工原料,19980529
600166.SH,福田汽车,汽车整车,19980602
600167.SH,联美控股,供气供热,19990128
600168.SH,武汉控股,水务,19980427
600169.SH,ST太重,工程机械,19980904
600170.SH,上海建工,建筑工程,19980623
600171.SH,上海贝岭,半导体,19980924
600172.SH,黄河旋风,矿物制品,19981126
600173.SH,卧龙新能,全国地产,19990415
600176.SH,中国巨石,玻璃,19990422
600177.SH,XD雅戈尔,服饰,19981119
600178.SH,东安动力,汽车配件,19981014
600179.SH,安通控股,水运,19981104
600180.SH,*ST瑞茂,仓储物流,19980703
600182.SH,S佳通,汽车配件,19990507
600183.SH,XD生益科,元器件,19981028
600184.SH,光电股份,专用机械,20031106
600185.SH,珠免集团,旅游服务,19990611
600186.SH,莲花控股,食品,19980825
600187.SH,*ST国中,水务,19981111
600188.SH,兖矿能源,煤炭开采,19980701
600189.SH,泉阳泉,软饮料,19981007
600191.SH,华资实业,食品,19981210
600192.SH,长城电工,电气设备,19981224
600193.SH,*ST创兴,装修装饰,19990527
600195.SH,中牧股份,农业综合,19990107
600196.SH,复星医药,化学制药,19980807
600197.SH,伊力特,白酒,19990916
600198.SH,大唐电信,通信设备,19981021
600199.SH,金种子酒,白酒,19980812
600201.SH,生物股份,农业综合,19990115
